,0
0,#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week :)
1,@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!
2,@DespiteOfficial we had a listen last night :) As You Bleed is an amazing track. When are you in Scotland?!
3,@97sides CONGRATS :)
4,yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days
5,"@BhaktisBanter @PallaviRuhail This one is irresistible :)
#FlipkartFashionFriday http://t.co/EbZ0L2VENM"
6,We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF :) https://t.co/smyYriipxI
7,"@Impatientraider On second thought, there’s just not enough time for a DD :) But new shorts entering system. Sheep must be buying."
8,"Jgh , but we have to go to Bayan :D bye"
9,"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies :p."
10,#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week :)
11,Who Wouldn't Love These Big....Juicy....Selfies :) - http://t.co/QVzjgd1uFo http://t.co/oWBL11eQRY
12,@Mish23615351  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
13,"@jjulieredburn Perfect, so you already know what's waiting for you :)"
14,Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0
15,Laying out a greetings card range for print today - love my job :-)
16,"Friend's lunch... yummmm :)
#Nostalgia #TBS #KU."
17,@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working
18,@oohdawg_ Hi liv :))
19,Hello I need to know something can u fm me on Twitter?? — sure thing :) dm me x http://t.co/W6Dy130BV7
20,#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week :)
21,"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all :)"
22,@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x :))
23,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301
24,💅🏽💋 - :)))) haven't seen you in years
25,@Bosslogic @amellywood @CW_Arrow @ARROWwriters Thank you! :-)
26,@johngutierrez1 hope the rest of your night goes by quickly... I am off to bed... got my music fix and now it is time to dream  :)
27,"Spiritual Ritual Festival (Népal)
Beginning of Line-up :)
It is left for the line-up (y)
See more at:... http://t.co/QMNz62OEuc"
28,@ke7zum Hey Sarah! Send us an email at bitsy@bitdefender.com and we'll help you asap :)
29,@izzkamilhalda lols. :D
30,MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/TnHJD36yzf
31,@KalinWhite come to my house :)))))
32,"#nsn_supplements, Effective press release distribution with results! :) [link removed] #PressRelease #NewsDistribution"
33,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x46"
34,everyone watch the documentary Earthlings on YouTube :-)
35,@jamiefigsxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
36,#FollowFriday @MichelBauza @InvataOnline for being top supports in my community this week :)
37,buuuuuuuut oh well :-)
38,@leisuremarkltd @NoshandQuaff @aktarislam @keanebrands @HeritageSilver I am looking forward to visiting next week #letsgetmessy Jo :-)
39,@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :D
40,"@Joyster2012 @CathStaincliffe Good for you, girl!! Best wishes :-)"
41,@_Kimimi A great enough reason to listen to one epic soundtrack. :D
42,@AquaDesignGroup Thank you for the shout out. Have a great Friday :)
43,I added a video to a @YouTube playlist http://t.co/yzpfsMxUq0 im back on twitch and today it going to be league :) - 1 / 4
44,Would love to see you dear in #Jordan :) waiting you! @FIRDOZ  :) @VisitJordan @dannyprol
45,"@ABNORMAL_ANA92 oh, okay :D thanks!"
46,"@sssniperwolf like how to fake gameplays ;) haha Im kidding, im kidding. You do good stuff :)."
47,"@dennislami @Dicle_Aygur, yeah exactly :)"
48,Our new product line is in our #etsy shop now! Check it out :) http://t.co/h8exCTLQxg #boxroomcrafts
49,@PeakYourMind I hope your vacation is going great! :D
50,@groovinshawn they are rechargeable and it normally comes with a charger when u buy it :)
51,#FollowFriday @France_Espana @reglisse_menthe @CCI_inter for being top engaged members in my community this week :)
52,Well she's asleep and I have no one to talk to sooo someone text me :)
53,"@brynybrath @smallcappy Yes, I suppose. I bet he'll have a blue fit after hearing her speech today. Pity :-)"
54,"Green gardens, midnight sun, beautiful canals dasvidaniya till next visit.:)"
55,@KeithRParsons are you scouting SG for a future WLAN pros conference here in Asia? :)
56,"@Cecilie_Hell @420evilangel @wazimotometal @durooooooo @spigranty Good for u, better change it to lollipop 🍭 :)."
57,We &lt;3 u Nez :) #AGNEZMO https://t.co/cGViMHSINz
58,@LittleMix Follow me Please :)  This is my Big Dream :)
59,@Elemaaan  oley be :D
60,"""@CowokAddict: Mama is the only reason why I stand stronger up to now! :)"""
61,@MacatangayApril  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
62,"@tk_kjk_kndr @boukendreamer OH MY GOD MISTY, MY BABY IS SO CUTE!!! :D"
63,"@BhaktisBanter 

I love blue :)
#FlipkartFashionFriday http://t.co/HnbinH35ES"
64,"@CarcassDrop Woohoo! Can't wait :) Have you signed up yet, or still thinking about it? MKa"
65,i have liam access now :))
66,@SyuhxdxTengku most welcome :)
67,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/p6K6SiH58a.
68,@sluttywife2 you shouldn't be surprised...you have an amazing figure :)
69,#FollowFriday @murtishaw @aqui_fr @FRTechStartups for being top influencers in my community this week :)
70,"#HappyBirthdayEmilyBett @emilybett :) Wishing you all the best you beautiful,sweet,talented,amazing… https://t.co/humtC1tr3I"
71,2 plans for the day down the drain great :):
72,@x123456789tine @5SOS_FAHUpdates gotta love timezones :p
73,"are your parents proud of you — lol, not in the least :D maybe sometimes they get happy because of my grades, al... http://t.co/bJjeGIOOGU"
74,Grande :)  https://t.co/gsaaxNpR8u
75,Manila_bro has chosen to follow me on Twitter! http://t.co/lKXZWXN1fb. Thanks for the follow :)
76,@syazwanzainal sure let me know when you're around..at this side of the world #eh u too take care :-)
77,#FollowFriday @michae1green @superninjaalan @Doug_Laney for being top new followers in my community this week :)
78,finally the fucking weekend :)
79,REAL :)
80,@LoLEsportspedia thanks :D
81,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x45"
82,YES! I Joined #HushedCallWithFraydoe for a call &amp; gift from @_Fraydoe &lt;3 Gotta Get @HushedApp :D http://t.co/VaLVe8omdT
83,@YasLarry yeahhh :)
84,can I DM you &amp; make your night better :)))
85,just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/kGfgawdHy9
86,Would really appreciate it if you share this video around :) https://t.co/MhK3B3wOpQ
87,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @xhebenkewu_9920
88,@TomParker oh wow!! That is beautiful tom :)
89,Love You @darlingIXHAI22 @SyreenAnne :)) https://t.co/wx7yRrE7sV
90,I added a video to a @YouTube playlist http://t.co/HVVPhSYakA im back on twitch and today it going to be league :) - 1 / 3
91,#FollowFriday @AmericanOGrain @PecomeP @APaulicand for being top supports in my community this week :)
92,@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
93,Gym Monday can't wait :). Likes
94,"@HarNiLiZaLouis Hey, here's your invite to join Scope as an influencer :)  http://t.co/rZgZtQ2fJT"
95,Those friends know themselves :)
96,waiting for nudes :-)
97,@JacobWhitesides go sleep u ! :)))))))))
98,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/RB8pMNgMEo.
99,My birthday is a week today! :D
100,@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! :D
101,@AxeRade haw phela if am not looking like Mom obviously am looking like him :)
102,@zaynmalik prince charming on stage :) x https://t.co/OnVFhzt5fZ
103,i have really good luck :)
104,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/XzsOGaC4zK.
105,#FollowFriday @straz_das @DCarsonCPA @GH813600 for being top engaged members in my community this week :)
106,@twentyonepilots @fujirock_jp tylers hipster glasses :D
107,"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)"
108,@UKBusinessLunch Hi we will be joining you again today :)
109,@LAfitnessUKhelp done thanks :-)
110,"Its already afternoon, lets read Al Kahfi before the day finish :)"
111,OhmyG! yaya dub @mainedcm im done doing to stalk your ig accnt.. GONDOOO MOO TOLOGOOO :) HAHA
112,@rozbabes Here's your invite to become a Scope influencer :) Details here: http://t.co/ipJ2yOiGet
113,#FollowFriday @NGourd @Locita @D_Robert_Kelly for being top influencers in my community this week :)
114,@kevinthewhippet @Cassie_Spaniel @Bracken_Nelson @BellisimoBella1 @SpanielHarry thanks :) zzz xx
115,Physiotherapy Friday is my hashtag for today. Custom! :-)
116,"@Cjlopez21 you know I will 💪 Monica and I miss you to, yeah sounds good to me :)"
117,"""Good morning, beautiful :)"" That's all it takes."
118,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x43"
119,@MandaScapinello oh yeah?? I am definitely going to try it tonight then! :) we took your advice too! We are in Treviso now!
120,@morallosanthony  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
121,@NIKKIERIOZZI Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :)
122,"Fine, 
...Have a gorgeous Friday, friend!!..; xo..-:)) https://t.co/JmpkZP2DaI"
123,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob"
124,@HostMyOffice @NigelPWhittaker @lemezma @TWBC_Business @_TheBunkerJL Right back atchya!  Have a great day everyone :)
125,@TeamTall17 @FlashHayer  but doesn't even follow back :-)
126,The future is almost here then :) https://t.co/rolE3ZCL97
127,#FollowFriday @Michelploria @MyFrenchCity @jasoncreation for being top new followers in my community this week :)
128,No chance :)
129,@ChiAB2486 @MrCliveC @PCDKirkwood @DC_ARVSgt @COPS_President @EmWilliamsCCCU @LauraRGallagher @Hall11Kate @LaMinx541 @JohnTarbet71 cheers :)
130,@thatguycalledP go po for ice cream :))
131,@19strawberry66 I agree 100% :)
132,@SpazzyTsukihara hehehehe thats the point :p
